id,name,brand,price,dept,description
97,Speaker,JBL,99.95,8,"This product is a high-quality speaker designed for crystal-clear sound and powerful bass. It features a modern design, advanced technology, and intuitive controls to give you the ultimate listening experience. It is perfect for listening to music, watching movies, or playing video games. It also has Bluetooth connectivity and a long-lasting battery life."
98,Amp,Mackie,499.99,15,"Amp is a powerful, easy-to-use audio player designed to give you the best listening experience. With its intuitive interface, Amp makes it easy to find, play, and control all of your music, podcasts, and audio files. It features advanced audio controls, including equalizer presets, customizable sound, and crossfading, so you can get the perfect sound for any situation. Amp also includes a host of other features, such as gapless playback, sleep timer, and more. With Amp, you can listen to your music, podcasts, and audio files the way you want."
99,Guitar Stand,Stagg,39.99,15,This guitar stand is designed to provide a secure and stable support for your guitar. It features a 3-legged design for stability and a padded top to protect your instrument's finish. The adjustable height and tilt allows you to customize the stand to your individual needs and the folding design allows you to easily store the stand when not in use. This stand is perfect for any musician looking for a reliable way to display or store their instrument.
100,Keyboard Stand,On-Stage,39.99,15,"The Keyboard Stand is designed to provide a stable and secure foundation for any keyboard. It is made from sturdy steel and features adjustable height and width settings for maximum comfort and stability. The adjustable design allows for easy storage and transportation, and the strong construction ensures that your keyboard stays in place. Perfect for use at home or on stage, the Keyboard Stand is the ideal choice for any musician."
101,Pens,Bic Pens,10,23,"Pens are writing instruments used for drawing, writing and marking on various surfaces. They come in various styles, sizes, colors, and materials such as ballpoint, gel, rollerball, fountain, and felt-tip. Pens provide an easy and convenient way to record and document information, making them an essential tool in a variety of situations."
102,Paper,Polaroid Film,19.99,23,"Paper is a thin material made from wood pulp, used for writing, printing, packaging, and many other purposes. It is produced in a variety of sizes and colors, and is a versatile material for use in a variety of applications. Paper is strong, durable, and recyclable, making it an environmentally friendly option for a variety of projects."
103,Markers,Sharpie,1.79,23,"Markers are writing instruments used to create visible marks on paper or other materials. They are available in a variety of colors and sizes, and can be used for a variety of applications, ranging from school projects to professional artwork. Markers are a popular choice for writing, drawing, and coloring, thanks to their wide range of colors, convenient portability, and ease of use."
104,Mechanical Pencils,Pentel Mechanical Pencils,5.99,23,"Mechanical pencils are an essential writing tool for students, professionals, and artists alike. They offer a precise and clean writing experience, with no need to constantly sharpen a traditional pencil. Mechanical pencils are also available in a variety of sizes, colors, and styles, making them perfect for any writing situation."
105,Diaper Cream,Boudreaux's Butt Paste,15.99,6,"Diaper Cream is a soothing and protective cream that helps prevent and treat diaper rash. It is formulated with zinc oxide, which works to protect delicate skin from moisture, and other natural ingredients to help reduce redness, itching, and discomfort. Diaper Cream is gentle enough for use with babies and toddlers, and can be used as often as needed for effective protection."
106,Bottle,Coca-Cola,1.29,6,The Bottle is a stylish and versatile beverage container that is perfect for keeping your favorite beverages cold and fresh. This bottle features a double-walled construction that helps keep drinks cold for longer and a vacuum-insulated top lid that helps prevent spills. The sleek design and durable construction make this bottle perfect for on-the-go activities.
107,Bottle Warmer,Evenflo,24.99,6,"The Bottle Warmer is a safe and easy way to quickly and evenly warm baby bottles. It features an adjustable temperature control, an LCD display, and a built-in timer to ensure that bottles are heated to the perfect temperature. Its stainless steel heating element is durable and efficient, and its insulated design helps to keep bottles warm for longer. This bottle warmer is perfect for busy parents who need a fast and reliable way to warm their baby's bottles."
